"Map","ID","Username","Date","Time","Quote","Hero","Game","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute","Map.Type"
"Hollywood",165,"JayNotHot",2023-05-13,15:45:00,"""NS""","Genji","Overwatch","Seasoned Competitor","Vixx","Genji player",2023,"May","Sat",15,"45","Hybrid"
"Hollywood",801,"DJAnanas",2024-03-27,16:33:00,"N/A","Sombra, Bastion, Hanzo","Overwatch","MEKA Ace","Seb","Comp Turtle Ship icon Endorsement 5 Cyber Demon namecard private profile",2024,"Mar","Wed",16,"33","Hybrid"
"Hollywood",451,"JAYONTAYO",2023-11-28,15:18:00,"""j von tayo why""","N/A","Overwatch","Adept Competitor","Seb","Adept Competitor, Skirmish, Hollywood",2023,"Nov","Tue",15,"18","Hybrid"
"Hollywood",178,"Jboogy811",2023-05-17,13:42:00,"""im him""","N/A","Overwatch","None","Richard","Hollywood",2023,"May","Wed",13,"42","Hybrid"
"Hollywood",139,"RJDole48",2023-04-07,17:37:00,"""yes""","Widowmaker","Overwatch","N/A","Richard","Found in TDM",2023,"Apr","Fri",17,"37","Hybrid"
"Hollywood",462,"STARJ",2023-12-01,10:27:00,NA,"Reinhardt","Overwatch","N/A","Josiad","Hollywood, rein",2023,"Dec","Fri",10,"27","Hybrid"
"Hollywood",949,"Jay",2024-06-20,10:18:00,"N/A","Ana, Mercy","Overwatch","N/A","Seb","QP did not reply if they were a previous Jay Genji Mastery icon Endorsement 3 Junkertown Ninja namecard private profile",2024,"Jun","Thu",10,"18","Hybrid"
"Hollywood",546,"PJROCKINSTAN",2023-12-21,09:39:00,"N/A","Junkrat","Overwatch","N/A","Seb","",2023,"Dec","Thu",9,"39","Hybrid"
"Hollywood",1139,"Jaygames1234",2024-09-15,15:22:00,"N/A","N/A","Overwatch","Nomad","Richard","Skirmish You Are Not Prepared icon Endorsement 4 Celestial namecard private profile",2024,"Sep","Sun",15,"22","Hybrid"
"Hollywood",574,"thejaydubb",2023-12-29,06:09:00,"N/A","Junkrat, Torbjörn","Overwatch","N/A","Seb","QP",2023,"Dec","Fri",6,"09","Hybrid"
"Hollywood",726,"QP 2nd sighting 2024-05-07 Numbani, 3rd — 09/30/2024",2024-02-13,13:17:00,"""gg""","N/A","Overwatch","Easy Prey","Richard","QP 2nd sighting 2024-05-07 Numbani",2024,"Feb","Tue",13,"17","Hybrid"
"Hollywood",728,"JAlligator",2024-02-15,10:39:00,"""jay"" ""gg""","Bastion","Overwatch","Deceiver","Seb","QP Puhyu icon Endorsement 4 Northern Dreams namecard private profile",2024,"Feb","Thu",10,"39","Hybrid"
"Hollywood",988,"BJM",2024-07-18,05:37:00,"N/A","Tracer","Overwatch","N/A","Seb","Queue Skirmish Overwatch Dark icon Endorsement 3 private profile",2024,"Jul","Thu",5,"37","Hybrid"
"Hollywood",687,"J1SONF1Re",2024-01-30,08:47:00,"""sup?"" ""chillen merkin the fucckk out of these kids hbu"" ""how do i know you again""","Sombra","Overwatch","N/A","Seb","OWWC PHI icon Endorsement 2 Aquatic Beast namecard private profile",2024,"Jan","Tue",8,"47","Hybrid"
"Horizon Lunar Colony",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"Ilios",506,"Roj",2023-12-14,04:49:00,"""ggwp""","Moira","Overwatch","Peasant","Seb","Moira, peasant, ilios",2023,"Dec","Thu",4,"49","Control"
"Ilios",259,"JPauler4Life",2023-09-05,17:21:00,"""Naked short is a crime"" ""The US is currently accumulating $1T in debt in interest alone"" ""Korea has banned short sellinmg due to excessive illegal naked short selling by american companies""","N/A","Overwatch","N/A","Richard","Ilios, 2nd spotting 2023-10-25 Nepal. 3rd blizzworld 2023-10-27. 4th Midtown 2023-10-30. 5th 2023-11-26",2023,"Sep","Tue",17,"21","Control"
"Ilios",118,"JManTheGreat",2023-03-19,09:38:00,NA,"N/A","Overwatch","Nomad","Richard","Illios",2023,"Mar","Sun",9,"38","Control"
"Ilios",509,"JayBird",2023-12-14,10:09:00,"""bluejay""","N/A","Overwatch","N/A","Seb","Different than Jaybird.",2023,"Dec","Thu",10,"09","Control"
"Ilios",557,"Pot8toJ",2023-12-24,12:39:00,"""real""","Ana","Overwatch","Prime Evil
","Seb","",2023,"Dec","Sun",12,"39","Control"
"Ilios",117,"Jjonak",2023-03-19,09:38:00,NA,"N/A","Overwatch","None","Richard","Illios",2023,"Mar","Sun",9,"38","Control"
"Ilios",522,"Jzur",2023-12-17,19:31:00,"N/A","Mauga/ Hog","Overwatch","N/A","verdantJay","Left game during round 3",2023,"Dec","Sun",19,"31","Control"
"Ilios",241,"jay",2023-07-25,14:05:00,"""noble""","N/A","Overwatch","None","Vixx","Ilios, no player title",2023,"Jul","Tue",14,"05","Control"
"Ilios",321,"CLARENCEJK",2023-10-14,17:22:00,NA,"Baptiste","Overwatch","Sage","Seb","Sage, baptiste",2023,"Oct","Sat",17,"22","Control"
"Ilios",986,"Jflame",2024-07-18,18:23:00,"""gotchu"" ""would you rather eat a baby goat or a matter baby?""","Ashe","Overwatch","World Eater","Richard","QP",2024,"Jul","Thu",18,"23","Control"
"Ilios",1220,"Jdog",2024-11-12,13:38:00,"""Huh""","Roadhog","Overwatch","None","Richard","Mysterious, entry keeps getting deleted from the Dex. 6v6 classic.",2024,"Nov","Tue",13,"38","Control"
"Ilios",1047,"JayXD66",2024-08-12,05:40:00,"N/A","Echo","Overwatch","None","Seb","Minecraft Custom Overwatch Dark icon Endorsement 3 private profile",2024,"Aug","Mon",5,"40","Control"
"Ilios",638,"JHYNXFR",2024-01-13,14:01:00,"N/A","Junker Queen, Doomfist","Overwatch","Archmage","Josiad","Founder icon Endorsement 2 Broken Planet namecard private profile",2024,"Jan","Sat",14,"01","Control"
"Ilios",1112,"jjacket",2024-09-09,16:29:00,"""yo""","Juno","Overwatch","Rogue","Richard","QP",2024,"Sep","Mon",16,"29","Control"
"Ilios",345,"JSAVESTHEDAY",2023-10-27,15:48:00,NA,"Roadhog","Overwatch","N/A","Sqweryl","Custom game",2023,"Oct","Fri",15,"48","Control"
"Ilios",977,"JJcrackers!",2024-07-09,18:10:00,"""what the sigma"" ""i got it""","Junker Queen","Overwatch","Grandmaster Tank","Richard","QP Lanternmari icon Endorsement 2 Junker Queen - Stage 3 namecard,  09/11/2024,  09/12/2024",2024,"Jul","Tue",18,"10","Control"
"Ilios",1017,"Jbomb",2024-08-03,05:10:00,"N/A","Roadhog","Overwatch","Retro Hero","Seb","12 Hooks 1 Hole Custom Puhyu icon Endorsement 4 ANTIFRAGILE Dazzle namecard private profile",2024,"Aug","Sat",5,"10","Control"
"Ilios",972,"JBposada",2024-07-05,12:16:00,"N/A","Moira","Overwatch","N/A","Vixx","QP",2024,"Jul","Fri",12,"16","Control"
"Ilios",689,"j444si",2024-01-31,07:42:00,"N/A","D.Va","Overwatch","N/A","Seb","Academy icon Endorsement 1 Constellations namecard private profile",2024,"Jan","Wed",7,"42","Control"
"Ilios",437,"JBUG75",2023-11-24,12:38:00,"""no""","Junkrat","Overwatch","None","Seb","no nametag, ilios, junkrat",2023,"Nov","Fri",12,"38","Control"
"Ilios",854,"BJ232333 ",2024-04-28,10:23:00,"N/A","Sombra","Overwatch","N/A","Seb","Minecraft Custom Vengeance icon Endorsement 1 private profile",2024,"Apr","Sun",10,"23","Control"
"Ilios",156,"JHex",2023-05-04,08:08:00,NA,"Ana","Overwatch","N/A","Richard","Illios GM2 Ana",2023,"May","Thu",8,"08","Control"
"Ilios",512,"JDoobs",2023-12-14,10:39:00,"""My man, I love a good steak."" ""You're welcome bruther""","N/A","Overwatch","None","Seb","Busan skirmish",2023,"Dec","Thu",10,"39","Control"
"Ilios",489,"JaeRow",2023-12-11,04:23:00,"""i took my addy, ive got rejected, and ive had my oatmeal i'm ready for overwatch"" ""PEDs?"" ""i gotta get silver need the performance enhancer shh he doesnt know""","Lifeweaver","Overwatch","Nomad","Seb","Nomad, Lifeweaver, Ilios",2023,"Dec","Mon",4,"23","Control"
"Ilios",1011,"BrothaEj",2024-08-02,13:58:00,"N/A","Ashe, Cassidy","Overwatch","N/A","Seb","QP Funky icon Endorsement 3 Soldier: 76 main",2024,"Aug","Fri",13,"58","Control"
"Ilios",123,"JayTheMemer",2023-03-23,16:34:00,NA,"Winston","Overwatch","None","Vixx","Illios",2023,"Mar","Thu",16,"34","Control"
"Ilios",371,"JZIMM3241",2023-11-08,10:30:00,"""gg""","Zarya","Overwatch","Peasant","Seb","Peasant, Zarya, Illios",2023,"Nov","Wed",10,"30","Control"
"Ilios",532,"jjinrō",2023-12-18,17:08:00,"N/A","Pharah","Overwatch","Herald of Hermes","Richard","",2023,"Dec","Mon",17,"08","Control"
"Ilios",748,"MissAJ",2024-02-26,13:27:00,"N/A","N/A","Overwatch","Easy Prey","Richard","QP spectator D.Va Silhouette icon Endorsement 5 Bisexual Pride namecard private profile",2024,"Feb","Mon",13,"27","Control"
"Ilios",511,"JMMARINN",2023-12-14,10:25:00,NA,"Widowmaker","Overwatch","None","Seb","Widow, Skirmish, Ilios no name tag",2023,"Dec","Thu",10,"25","Control"
"Ilios",1064,"JMacm",2024-08-17,18:16:00,"N/A","Roadhog","Overwatch","None","Seb","12 Hogs 1 Hole Custom Reaper icon Endorsement 1 private profile",2024,"Aug","Sat",18,"16","Control"
"Ilios Ruins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"Junkertown",817,"MissJaydapie",2024-04-02,18:23:00,"N/A","Doomfist, Sombra, Zenyatta, Junkrat","Overwatch","N/A","Seb","MH backfill Mardi Grashe icon Endorsement 4 Mei main",2024,"Apr","Tue",18,"23","Payload"
"Junkertown",616,"JTDESROYS",2024-01-07,15:09:00,"N/A","Kiriko","Overwatch","World Eater","Josiad","Inferno icon Queen Cobra namecard",2024,"Jan","Sun",15,"09","Payload"
"Junkertown",1133,"Aceacejay",2024-09-15,10:16:00,"""yer""","Cassidy","Overwatch","Chaos Bringer","Richard","Skirmish, private profile",2024,"Sep","Sun",10,"16","Payload"
"Junkertown",555,"Kdksksj",2023-12-24,12:07:00,"N/A","Sigma","Overwatch","N/A","Seb","",2023,"Dec","Sun",12,"07","Payload"
"Junkertown",386,"JJTHEBOSS",2023-11-15,10:34:00,"""being ass at this game""","Wrecking Ball","Overwatch","Genji's Peace","Seb","Genji's Peace, Junkertown, Mystery heroes",2023,"Nov","Wed",10,"34","Payload"
"Junkertown",808,"KINGJDMendz",2024-03-29,06:19:00,"N/A","Mercy","Overwatch","N/A","Seb","Skirmish Cerberus icon Endorsement 2 private profile",2024,"Mar","Fri",6,"19","Payload"
"Junkertown",645,"JRNA",2024-01-14,16:06:00,"""yuh ""in signklanguagfe3 f""","Orisa","Overwatch","Nocturnal Creature","Richard","Mystery Heroes",2024,"Jan","Sun",16,"06","Payload"
"Junkertown",198,"AJDAGREAT",2023-05-30,18:03:00,NA,"N/A","Overwatch","None","Vixx","Support player Junkertown",2023,"May","Tue",18,"03","Payload"
"Junkertown",1236,"DJMHT",2024-11-26,09:08:00,"N/A","Hanzo","Overwatch","Easy Prey","Josiad","LGBTQ banner with vodka profile pic",2024,"Nov","Tue",9,"08","Payload"
"Junkertown",712,"sukhrajb",2024-02-06,10:20:00,"N/A","N/A","Overwatch","Extraterrestrial","Seb","MH leaver Scar icon Endorsement 4 private profile",2024,"Feb","Tue",10,"20","Payload"
"Junkertown",884,"JAE",2024-05-21,17:22:00,"""head? :3""","N/A","Overwatch","Hacker","Richard","Spectator Jay Hero Mastery: Gauntlet icon Endorsement 2 Mirrorwatch Overwatch namecard private profile, possible 2nd spotting 20240914 3:56 PM",2024,"May","Tue",17,"22","Payload"
"Junkertown",1235,"JCK",2024-11-26,08:55:00,"N/A","N/A","Overwatch","Extraterrestrial","Josiad","",2024,"Nov","Tue",8,"55","Payload"
"Junkertown",529,"PBJTheOtter",2023-12-18,11:07:00,"""whatdo you think"" ""uwu""","N/A","Overwatch","Rogue","Seb","Asked them what their favourite food is",2023,"Dec","Mon",11,"07","Payload"
"Junkertown",754,"JMANGEDCUL",2024-02-27,09:38:00,"N/A","Lifeweaver","Overwatch","N/A","Seb","Comp",2024,"Feb","Tue",9,"38","Payload"
"Junkertown",591,"OrangeFreeOJ",2023-12-31,12:46:00,"""thats mean""","Rammatra","Overwatch","N/A","Seb","QP",2023,"Dec","Sun",12,"46","Payload"
"Junkertown",1164,"JPULTRA99",2024-09-19,15:58:00,"""Yes""","Tracer","Overwatch","None","Richard","Skirmish, lvl 4 endorsement, winston pfp",2024,"Sep","Thu",15,"58","Payload"
"Junkertown",282,"JSCHEISTY",2023-09-26,16:48:00,NA,"N/A","Overwatch","Officer","Seb","Junkertown, Officer",2023,"Sep","Tue",16,"48","Payload"
"Junkertown",398,"JAEJAE",2023-11-17,12:49:00,"""gg""","N/A","Overwatch","Peasant","Seb","Peasant, Junkertown, DPS",2023,"Nov","Fri",12,"49","Payload"
"Junkertown",268,"JayWalker",2023-09-16,15:47:00,"""yes ik :(""","Soldier","Overwatch","None","Richard","Shambali, soldier, 2nd 2024-08-09 Junkertown",2023,"Sep","Sat",15,"47","Payload"
"Junkertown",1229,"DJFunky",2024-11-20,14:46:00,"N/A","Hanzo","Overwatch","Cosmic Being","Josiad","Tracer I icon",2024,"Nov","Wed",14,"46","Payload"
"Junkertown",58,"JLee",2022-11-11,12:52:00,"""gg""","N/A","Overwatch","None","Richard","2nd sighting colesseo 2023-10-23",2022,"Nov","Fri",12,"52","Payload"
"Junkertown",594,"SadOJ ",2023-12-31,14:04:00,"N/A","N/A","Overwatch","N/A","Seb","Queue Skirmish Cybermari icon Endorsement 2 ANTIFRAGILE Slay Star namecard",2023,"Dec","Sun",14,"04","Payload"
"Junkertown",396,"JTSlaughter",2023-11-17,09:28:00,"""whatever you want :)""","N/A","Overwatch","N/A","Basileus","Junkertown",2023,"Nov","Fri",9,"28","Payload"
"Junkertown",961,"Jsir67",2024-06-26,05:37:00,"N/A","Mauga","Overwatch","Medic","Vixx","Community Crafted Puhyu icon Inextinguishable namecard",2024,"Jun","Wed",5,"37","Payload"
"Kanezaka",470,"LESSJSN",2023-12-05,17:31:00,"""yeah from the mercy moaning custom game""","Doomfist","Overwatch","N/A","Seb","Deathmatch Kanezaka",2023,"Dec","Tue",17,"31","Other"
"Kanezaka",734,"KYPJTOMEGA",2024-02-17,10:10:00,"N/A","Ashe","Overwatch","N/A","Seb","Queue DM The Doctor icon Endorsement 1 The Nebula namecard private profile",2024,"Feb","Sat",10,"10","Other"
"Kanezaka",322,"JJboy",2023-10-15,19:37:00,"""nuh ah""","Lucio","Overwatch","N/A","Seb","Custom game",2023,"Oct","Sun",19,"37","Other"
"Kanezaka",711,"Jayzekiel",2024-02-06,10:19:00,"N/A","Ana","Overwatch","Tenacious Hero","Seb","Queue DM Royal Emblem icon Endorsement 5 Northern Dreams namecard silver 5 Combined Damage bronze 4 Support",2024,"Feb","Tue",10,"19","Other"
"Kanezaka",389,"JAYV",2023-11-16,03:36:00,"""i'm jay gravy""","Winston","Overwatch","N/A","Seb","Deathmatch Kenezaka, winston",2023,"Nov","Thu",3,"36","Other"
"Kanezaka",492,"JWEILER",2023-12-11,07:22:00,"""your weird""","Sombra","Overwatch","N/A","Seb","Deathmatch Kanezaka",2023,"Dec","Mon",7,"22","Other"
"Kanezaka",184,"JJx",2023-05-21,12:25:00,"""Hi""","N/A","Overwatch","N/A","Sqweryl","Kanezaka FFA Comp, 2nd 2023-12-13; Stalwrt hero",2023,"May","Sun",12,"25","Other"
"Kanezaka",423,"ANIMEJAYKING",2023-11-22,09:56:00,"""you heard of undead unluck?""","N/A","Overwatch","N/A","Seb","Deathmatch Kanezaka",2023,"Nov","Wed",9,"56","Other"
"Kanezaka",642,"Medj",2024-01-14,10:06:00,"""not yet my mcat's in 2 weeks""","Moira","Overwatch","N/A","Seb","Med student Jay Gargoyle icon Endorsement 3 private profile",2024,"Jan","Sun",10,"06","Other"
"Kanezaka",142,"diegojdiaz",2023-04-09,15:11:00,NA,"N/A","Overwatch","N/A","Richard","Found in TDM",2023,"Apr","Sun",15,"11","Other"
"Kanezaka",643,"Jayidrk",2024-01-14,11:07:00,"N/A","N/A","Overwatch","Assassin","Richard","Queue DM Terran icon Endorsement 3 Ghostly Vines namecard",2024,"Jan","Sun",11,"07","Other"
"Kanezaka",494,"RUSSIANJB",2023-12-12,10:35:00,"""da he fuck bear""","Baptiste","Overwatch","N/A","Seb","Baptiste, deathmatch, kanezaka",2023,"Dec","Tue",10,"35","Other"
"Kanezaka",556,"Jyvu",2023-12-24,12:27:00,"N/A","Cassidy","Overwatch","Nomad","Seb","",2023,"Dec","Sun",12,"27","Other"
"Kanezaka",420,"JayZeero7",2023-11-22,04:16:00,"""what's your friend's number""","N/A","Overwatch","N/A","Seb","Deathmatch Kanezaka",2023,"Nov","Wed",4,"16","Other"
"Kanezaka",987,"jreads",2024-07-18,05:28:00,"""hero of our time""","Sombra","Overwatch","Assassin","Seb","Book enjoyer Jay Queue DM Deadeye icon Endorsement 4 Cassidy - Level 2 namecard gold 4 Damage Cass main",2024,"Jul","Thu",5,"28","Other"
"Kanezaka",724,"raeraej211",2024-02-13,09:50:00,"""yo torb 2""","Torbjörn","Overwatch","Medic","Seb","Queue DM Banshee icon Endorsement 5 Grand Remains namecard private profile, 2nd sighting 2024-03-31 Hollywood MH",2024,"Feb","Tue",9,"50","Other"
"Kanezaka",650,"JJWPanda",2024-01-16,07:46:00,"""YES"" ","Tracer","Overwatch","Star Pilot","Seb","Real panda Jay Diving icon Endorsement 3 Triple Pachimari namecard plat 4 tank gold 3 gold 5 support",2024,"Jan","Tue",7,"46","Other"
"Kanezaka",608,"TheUTJ",2024-01-04,16:28:00,"""UnrealisticTimeJump""","Ashe","Overwatch","Stalwart Hero","Seb","Queue DM has a youtube channel i think (https://youtube.com/@unrealistictimejump)",2024,"Jan","Thu",16,"28","Other"
"Kanezaka",670,"Th3RealDJ",2024-01-23,08:13:00,"N/A","Genji","Overwatch","Assassin","Seb","Queue DM Goldborg icon Endorsement 3 Broken Planet namecard Silver 3 damage Silver 4 support, 2nd sighting 2024-02-15",2024,"Jan","Tue",8,"13","Other"
"Kanezaka",566,"jtmpro",2023-12-28,07:10:00,"N/A","Mauga","Overwatch","N/A","Seb","",2023,"Dec","Thu",7,"10","Other"
"Kanezaka",551,"Bluejay",2023-12-24,19:02:00,"""Good kitty"" ""no my J isnt capitalized"" ""LMFAO""","Ana","Overwatch","World Eater","Seb","2nd 2024-06-22",2023,"Dec","Sun",19,"02","Other"
"Kanezaka",1033,"jtwrexz ",2024-08-08,04:58:00,"N/A","Sombra","Overwatch","N/A","Seb","Chat-suspended Jay Queue DM ",2024,"Aug","Thu",4,"58","Other"
"Kanezaka",1165,"Mjbravo",2024-09-19,16:01:00,"N/A","N/A","Overwatch","N/A","Richard","Skirmish",2024,"Sep","Thu",16,"01","Other"
"Kanezaka",579,"JSC02 ",2023-12-29,14:04:00,"N/A","Junker Queen","Overwatch","N/A","Seb","Queue DM endorsement 1 Nin icon private profile",2023,"Dec","Fri",14,"04","Other"
"Kanezaka",577,"ActicJay12",2023-12-29,12:53:00,"N/A","Sombra","Overwatch","Stalwart Hero","Seb","Queue DM private profile",2023,"Dec","Fri",12,"53","Other"
"King's Row",659,"BBJ",2024-01-17,05:50:00,"""just initials"" ""gg"" ""beanut butter n jelly"" ""gg""","Torbjörn","Overwatch","Shapeshifter","Seb","MH nice Jay VC guy Golf icon Endorsement 5 Broken Planet namecard private profile, 2nd 2024-06-10",2024,"Jan","Wed",5,"50","Hybrid"
"King's Row",473,"JDawggy",2023-12-06,19:45:00,"""i like him a ton tbh""""i alerady have like 5 hours on mauga"" ""thats sad :(""""ggs sebb"" ","Mauga","Overwatch","Subjugator","Seb","Subjugator, Mauga, King's Row",2023,"Dec","Wed",19,"45","Hybrid"
"King's Row",106,"RamesJaynor",2023-03-07,15:57:00,NA,"Bastion","Overwatch","None","Vixx","Played bastion",2023,"Mar","Tue",15,"57","Hybrid"
"King's Row",1137,"jts",2024-09-15,14:16:00,"""lil bro who are you""","Juno","Overwatch","Behemoth","Richard","Skirmish",2024,"Sep","Sun",14,"16","Hybrid"
"King's Row",1087,"JKSmitty",2024-08-30,19:04:00,"""GG""","Mei, Reaper","Overwatch","Streetrunner","Seb","Comp Loot Box icon Endorsement 3 Cyber Demon namecard private profile",2024,"Aug","Fri",19,"04","Hybrid"
"King's Row",581,"PrincessJ",2023-12-29,15:04:00,"N/A","Ashe","Overwatch","N/A","Seb","Queue Skirmish Cute D.va icon Endorsement 4 Llama Pajamas namecard silver 1 tank",2023,"Dec","Fri",15,"04","Hybrid"
"King's Row",318,"Jayisk",2023-10-13,14:26:00,"""if your gay lets hang im not gay though""","Reinhardt","Overwatch","Legendary Beast","Richard","Legendary Beast, rein, king's row",2023,"Oct","Fri",14,"26","Hybrid"
"King's Row",447,"Pjwags7195",2023-11-28,09:34:00,"""i dont like you""","Cassidy","Overwatch","N/A","Seb","Deathmatch, King's row",2023,"Nov","Tue",9,"34","Hybrid"
"King's Row",660,"Cjbrunosjet",2024-01-17,08:13:00,"N/A","Reaper","Overwatch","Graverobber","Seb","Queue DM Eye icon Endorsement 3 Ravens namecard private profile",2024,"Jan","Wed",8,"13","Hybrid"
"King's Row",243,"ejstupid",2023-07-25,16:58:00,"""poses cutely""","N/A","Overwatch","N/A","Richard","King's row",2023,"Jul","Tue",16,"58","Hybrid"
"King's Row",893,"Jsantyy",2024-05-28,04:42:00,"N/A","Sombra","Overwatch","Cosmic Being","Seb","Queue Skirmish Knot icon Endorsement 4 private profile",2024,"May","Tue",4,"42","Hybrid"
"King's Row",341,"JuggernautJB",2023-10-26,09:42:00,"""my initials""","D.VA","Overwatch","None","Seb","King's row, DVA, no player title",2023,"Oct","Thu",9,"42","Hybrid"
"King's Row",731,"JayJaeger",2024-02-16,06:34:00,"N/A","Rammatra, Wrecking Ball","Overwatch","N/A","Seb","QP Peanut Butter icon Endorsement 2 Great Waves namecard private profile",2024,"Feb","Fri",6,"34","Hybrid"
"King's Row",501,"Enjayess",2023-12-13,07:07:00,"""i just wanted a chance man""","Echo","Overwatch","N/A","Seb","Deathmatch",2023,"Dec","Wed",7,"07","Hybrid"
"King's Row",553,"Jaerud",2023-12-24,06:12:00,"""WHAT"" ""oh gg great heals""","Mauga","Overwatch","World Eater","Seb","",2023,"Dec","Sun",6,"12","Hybrid"
"King's Row",493,"JaysTV",2023-12-12,06:17:00,"""imma thavage""","Ana","Overwatch","Extraterrestrial","Seb","Extraterrestrial, custom game, ana",2023,"Dec","Tue",6,"17","Hybrid"
"King's Row",1075,"JRod",2024-08-19,16:42:00,"""real gs move in silence like lasagna"" ""found the real gs""","Sigma","Overwatch","World Eater","Seb","QP Queeniversary icon Endorsement 3 Amaterasu namecard plat 3 Tank Damage diamond 3 Support Ana main",2024,"Aug","Mon",16,"42","Hybrid"
"King's Row",328,"DJCOSMOS",2023-10-19,06:44:00,"""check me out on spotify""","Widowmaker","Overwatch","None","Seb","Widow player on king's row, no title",2023,"Oct","Thu",6,"44","Hybrid"
"King's Row",644,"DJCLARKE3",2024-01-14,14:31:00,"N/A","Reinhardt","Overwatch","N/A","Josiad","Dark Icon Endorsement 3 private profile",2024,"Jan","Sun",14,"31","Hybrid"
"King's Row",795,"CJT0511",2024-03-22,10:07:00,"N/A","Bastion, Brigitte, Mercy","Overwatch","Fearmonger","Seb","MH 2nd sighting next game",2024,"Mar","Fri",10,"07","Hybrid"
"King's Row",479,"JAYRAYJOHNS",2023-12-07,05:20:00,"""not moana""/""fun game ty all! <3""","N/A","Overwatch","Prime Evil","Seb","King's row, tank, prime evil",2023,"Dec","Thu",5,"20","Hybrid"
"King's Row",744,"Jwyatt",2024-02-22,15:28:00,"""uhhhh Im black""","Cassidy","Overwatch","Mortal","Richard","QP",2024,"Feb","Thu",15,"28","Hybrid"
"King's Row",236,"AlphaJC",2023-07-18,13:18:00,"""whats this about""","Widowmaker","Overwatch","Medic","Richard","2nd sighting 2024-07-23",2023,"Jul","Tue",13,"18","Hybrid"
"King's Row",510,"jwcastine",2023-12-14,10:25:00,"""monkey""","Mercy","Overwatch","N/A","Seb","Mercy, deathmatch, kingsrow",2023,"Dec","Thu",10,"25","Hybrid"
"King's Row",263,"P10J",2023-09-13,15:52:00,NA,"N/A","Overwatch","World Eater","Richard","King's Row, World Eater",2023,"Sep","Wed",15,"52","Hybrid"
"King's Row",771,"ntannerj",2024-03-07,19:56:00,"N/A","Lúcio","Overwatch","Archmage","Seb","QP Kiriko Silhouette icon Endorsement 5 Gay Pride namecard gold 3 Damage plat 4 Support",2024,"Mar","Thu",19,"56","Hybrid"
"King's Row",480,"JKX",2023-12-07,05:20:00,"""gg""","N/A","Overwatch","None","Seb","King's row, supp, no name tag",2023,"Dec","Thu",5,"20","Hybrid"
"Lijiang Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"Lijiang Tower",273,"Jay",2023-09-20,12:24:00,"""only nerds know how to make spreadsheets, nerd""","N/A","Overwatch","Barbarian","Seb","Barbarian, mean jay",2023,"Sep","Wed",12,"24","Control"
"Lijiang Tower",599,"jaykun101",2024-01-02,08:25:00,"N/A","Tracer","Overwatch","N/A","Seb","Queue Skirmish",2024,"Jan","Tue",8,"25","Control"
"Lijiang Tower",802,"JLSHANKS",2024-03-28,17:17:00,"N/A","Ana","Overwatch","N/A","Richard","1v1 Custom no profile",2024,"Mar","Thu",17,"17","Control"
"Lijiang Tower",980,"JQ23",2024-07-11,18:13:00,"N/A","Orisa","Overwatch","N/A","Richard","Same match as above Jae ",2024,"Jul","Thu",18,"13","Control"
"Lijiang Tower",1182,"SEANJTK8",2024-09-26,14:31:00,"""yo""","Lucio","Overwatch","Hero of the Light","Richard","with 9in1shampoo",2024,"Sep","Thu",14,"31","Control"
"Lijiang Tower",361,"JEYKOBUCH",2023-11-02,17:48:00,"""boop comp goes crazy""","N/A","Overwatch","Slicer","Seb","Lijiang Tower, Slicer.",2023,"Nov","Thu",17,"48","Control"
"Lijiang Tower",154,"Jbull",2023-04-29,11:05:00,"""gura mahajat"" ""HEAVY ONNET""","N/A","Overwatch","None","Richard","Lijang tower, kind of a roll",2023,"Apr","Sat",11,"05","Control"
"Lijiang Tower",883,"Jay",2024-05-21,17:04:00,"""do you run into jays this often"" ""am none of previous, but enjoy the survey"" ""if it helps i usually go by ""JJ"", this acc is just ""Jay though"" ""adding to survey results :3""","Reinhardt","Overwatch","N/A","Richard","QP ",2024,"May","Tue",17,"04","Control"
"Lijiang Tower",206,"PBANDJ",2023-06-07,16:14:00,NA,"N/A","Overwatch","Star Pilot","Vixx","Lijiang Tower",2023,"Jun","Wed",16,"14","Control"
"Lijiang Tower",979,"Jae",2024-07-11,18:13:00,"""i have nothing to say""","Mercy","Overwatch","Acolyte of Medusa","Richard","New Jae Jay QP",2024,"Jul","Thu",18,"13","Control"
"Lijiang Tower",922,"Jdozy",2024-06-11,12:18:00,"""gg""","Orisa","Overwatch","Rebel","Vixx","QP",2024,"Jun","Tue",12,"18","Control"
"Lijiang Tower",155,"Jaybird",2023-05-02,07:06:00,"""hi :3"" ""My cock is THROBBING :3""","N/A","Overwatch","Sage","Richard","Lijang tower, tank player, 2nd spotting 2023-05-02 Nepal, 3rd spotting 2023-05-16",2023,"May","Tue",7,"06","Control"
"Lijiang Tower",1216,"RedJay24",2024-11-07,15:57:00,"N/A","Mei","Overwatch","None","Richard","Skirmish",2024,"Nov","Thu",15,"57","Control"
